Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave AIM Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"46","Unassigned","John Cockerill India Ltd","https://johncockerillindia.com","Yes","Yes","Yes","3.6 out of 10","9","64","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/John_Cockerill_India_Ltd/screenshots/John_Cockerill_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (John Cockerill India Ltd)","Company Secretary & Compliance Officer","india@johncockerill.com","General Contact Email","Managing Director / CEO","india@johncockerill.com"
"47","Unassigned","Uflex Ltd","https://uflexltd.com","Yes","Yes","Yes","1 out of 10","53","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Uflex_Ltd/screenshots/Uflex_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Uflex Ltd)","Company Secretary & Compliance Officer","enquiry@uflexltd.com","General Contact Email","Managing Director / CEO","enquiry@uflexltd.com"
"48","Unassigned","Foseco India Ltd","https://fosecoindia.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Foseco_India_Ltd/screenshots/Foseco_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Foseco India Ltd)","Company Secretary & Compliance Officer","info@fosecoindia.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@fosecoindia.com"
"49","Unassigned","Golden Tobacco Ltd","https://goldentobacco.in","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Golden_Tobacco_Ltd/screenshots/Golden_Tobacco_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Golden Tobacco Ltd)","Company Secretary & Compliance Officer","info@goldentobacco.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@goldentobacco.in"
"50","Unassigned","Ganesh Benzoplast Ltd","https://ganeshbenzoplast.com","Yes","Yes","Yes","1 out of 10","15","40","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Ganesh_Benzoplast_Ltd/screenshots/Ganesh_Benzoplast_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ganesh Benzoplast Ltd)","Company Secretary & Compliance Officer","info@gblinfra.com","General Contact Email","Managing Director / CEO","info@gblinfra.com"
"51","Unassigned","Metroglobal Ltd","https://metrogloballimited.com","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Metroglobal_Ltd/screenshots/Metroglobal_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Metroglobal Ltd)","Company Secretary & Compliance Officer","info@metrogloballimited.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@metrogloballimited.com"
"52","Unassigned","GTL Ltd","https://gtlaw.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/GTL_Ltd/screenshots/GTL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (GTL Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"53","Unassigned","Godrej Industries Ltd","https://godrej.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Godrej_Industries_Ltd/screenshots/Godrej_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Godrej Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"54","Unassigned","Kansai Nerolac Paints Ltd","https://nerolacbd.com","Yes","Yes","Yes","1 out of 10","21","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Kansai_Nerolac_Paints_Ltd/screenshots/Kansai_Nerolac_Paints_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Kansai Nerolac Paints Ltd)","Company Secretary & Compliance Officer","info@nerolacbd.com","General Contact Email","Managing Director / CEO","info@nerolacbd.com"
"55","Unassigned","Goodricke Group Ltd","https://goodricketea.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Goodricke_Group_Ltd/screenshots/Goodricke_Group_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Goodricke Group Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"56","Unassigned","GTN Industries Ltd","https://gtnf.org","Yes","Yes","Yes","3.6 out of 10","9","64","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/GTN_Industries_Ltd/screenshots/GTN_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (GTN Industries Ltd)","Company Secretary & Compliance Officer","info@gtnf.org","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@gtnf.org"
"57","Unassigned","GHCL Ltd","https://ghc.sa","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/GHCL_Ltd/screenshots/GHCL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (GHCL Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"58","Unassigned","GFL Ltd","https://gflenv.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/GFL_Ltd/screenshots/GFL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (GFL Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"59","Unassigned","HCL Infosystems Ltd","https://hclinfosystems.in","Yes","Yes","Yes","1 out of 10","36","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/HCL_Infosystems_Ltd/screenshots/HCL_Infosystems_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HCL Infosystems Ltd)","Company Secretary & Compliance Officer","cosec@hcl.com","General Contact Email","Managing Director / CEO","cosec@hcl.com"
"60","Unassigned","HDFC Bank Ltd","https://hdfcbank.com","Yes","Yes","Yes","7.8 out of 10","3","88","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/HDFC_Bank_Ltd/screenshots/HDFC_Bank_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HDFC Bank Ltd)","Company Secretary & Compliance Officer","info@hdfcbank.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@hdfcbank.com"
"61","Unassigned","Hero MotoCorp Ltd","https://heromotocorp.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Hero_MotoCorp_Ltd/screenshots/Hero_MotoCorp_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hero MotoCorp Ltd)","Company Secretary & Compliance Officer","xxx@yourdomain.com","General Contact Email","Managing Director / CEO","xxx@yourdomain.com"
"62","Unassigned","HFCL Ltd","https://hfcl.com","Yes","Yes","Yes","7 out of 10","4","84","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/HFCL_Ltd/screenshots/HFCL_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HFCL Ltd)","Company Secretary & Compliance Officer","info@hfcl.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@hfcl.com"
"63","Unassigned","Himadri Speciality Chemical Ltd","https://himadri.com","Yes","Yes","Yes","1 out of 10","19","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Himadri_Speciality_Chemical_Ltd/screenshots/Himadri_Speciality_Chemical_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Himadri Speciality Chemical Ltd)","Company Secretary & Compliance Officer","info@himadri.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","investors@himadri.com"
"64","Unassigned","Hindustan Construction Company Ltd","https://hccindia.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Hindustan_Construction_Company_Ltd/screenshots/Hindustan_Construction_Company_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hindustan Construction Company Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"65","Unassigned","Agi Greenpac Ltd","https://agigreenpac.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Agi_Greenpac_Ltd/screenshots/Agi_Greenpac_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Agi Greenpac Ltd)","Company Secretary & Compliance Officer","agi@agi-glaspac.com","General Contact Email","Managing Director / CEO","agi@agi-glaspac.com"
"66","Unassigned","Hindustan Zinc Ltd","https://hzlindia.com","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Hindustan_Zinc_Ltd/screenshots/Hindustan_Zinc_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Hindustan Zinc Ltd)","Company Secretary & Compliance Officer","info@hzlindia.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@hzlindia.com"
"67","Unassigned","HMT Ltd","https://hmtvlive.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/HMT_Ltd/screenshots/HMT_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HMT Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"68","Unassigned","Prag Bosimi Synthetics Ltd","https://pragbosimi.com","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Prag_Bosimi_Synthetics_Ltd/screenshots/Prag_Bosimi_Synthetics_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Prag Bosimi Synthetics Ltd)","Company Secretary & Compliance Officer","info@pragbosimi.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@pragbosimi.com"
"69","Unassigned","HLV Ltd","https://hlv.de","Yes","Yes","Yes","1 out of 10","105","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/HLV_Ltd/screenshots/HLV_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (HLV Ltd)","Company Secretary & Compliance Officer","info@hlv.de","General Contact Email","Managing Director / CEO","info@hlv.de"
"70","Unassigned","IG Petrochemicals Ltd","https://igpetro.com","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/IG_Petrochemicals_Ltd/screenshots/IG_Petrochemicals_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (IG Petrochemicals Ltd)","Company Secretary & Compliance Officer","info@igpetro.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@igpetro.com"
"71","Unassigned","India Glycols Ltd","https://indiaglycols.com","Yes","Yes","Yes","1 out of 10","30","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/India_Glycols_Ltd/screenshots/India_Glycols_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (India Glycols Ltd)","Company Secretary & Compliance Officer","info@indiaglycols.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@indiaglycols.com"
"72","Unassigned","Margo Finance Ltd","https://margotelena.com","Yes","Yes","Yes","4.3 out of 10","8","68","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Margo_Finance_Ltd/screenshots/Margo_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Margo Finance Ltd)","Company Secretary & Compliance Officer","hello@margotelena.com","General Contact Email","Managing Director / CEO","hello@margotelena.com"
"73","Unassigned","Infosys Ltd","https://infosys.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Infosys_Ltd/screenshots/Infosys_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Infosys Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"74","Unassigned","Ingersoll-Rand (India) Ltd","https://ingersollrand.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Ingersoll_Rand__India__Ltd/screenshots/Ingersoll_Rand__India__Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ingersoll-Rand (India) Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"75","Unassigned","International Travel House Ltd","https://internationaltravelhouse.in","Yes","Yes","Yes","6.3 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/International_Travel_House_Ltd/screenshots/International_Travel_House_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (International Travel House Ltd)","Company Secretary & Compliance Officer","info@internationaltravelhouse.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@internationaltravelhouse.in"
"76","Unassigned","Ion Exchange India Ltd","https://ionexchangeglobal.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Ion_Exchange_India_Ltd/screenshots/Ion_Exchange_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ion Exchange India Ltd)","Company Secretary & Compliance Officer","info@ionexchangeglobal.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@ionexchangeglobal.com"
"77","Unassigned","Jain Irrigation Systems Ltd","https://jains.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Jain_Irrigation_Systems_Ltd/screenshots/Jain_Irrigation_Systems_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jain Irrigation Systems Ltd)","Company Secretary & Compliance Officer","info@jains.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@jains.com"
